Metric,VaR/ES ($),VaR/ES ($M),% of Portfolio,vs HS VaR
HS VaR (delta-gamma),1208452.4907690596,1.208,1.208,1.0
HS ES (delta-gamma),1485146.3068574648,1.485,1.485,1.229
Stressed VaR (worst 250-day),5146592.16173235,5.147,5.147,4.259
MC VaR (GAUSSIAN Copula+DCC),1386138.8030327887,1.386,1.386,1.147
MC ES  (GAUSSIAN Copula+DCC),1679187.3651960194,1.679,1.679,1.39
GARCH-Filtered VaR,1677901.905367359,1.678,1.678,1.388
GARCH-Filtered ES,2130741.8230800964,2.131,2.131,1.763
LVaR (dynamic spread),1895591.2879744978,1.896,1.896,1.569
SVaR: GFC 2008 (Lehman),3592523.669918487,3.593,3.593,2.973
SVaR: Euro Crisis 2010,1404756.6288383044,1.405,1.405,1.162
SVaR: COVID 2020,5146592.16173235,5.147,5.147,4.259
